place_id,name,is_spending_on_ads,reviews,can_claim,emails,phones,linkedin,twitter,facebook,youtube,instagram,main_category,categories,rating,address,link
ChIJT2Innd6ZTDARHBmfjWUEQrk,Restoran Ismail,FALSE,28,TRUE,,,,,,,,Restaurant,Restaurant,3.5,"Restoran Ismail, 9, Persiaran Jubli Emas, Taman Suriani, 01000 Kangar, Perlis",https://www.google.com/maps/place/Restoran+Ismail/data=!4m7!3m6!1s0x304c99de9d27624f:0xb94204658d9f191c!8m2!3d6.4453259!4d100.2065788!16s%2Fg%2F11h90vcb4g!19sChIJT2Innd6ZTDARHBmfjWUEQrk?authuser=0&hl=en&rclk=1
ChIJ-yEQUISbTDARTXwPMWEFBg0,THAM MOTEL and Restoran. Tai Guo Zhu Chao Xiao Fan Zhong Xin ,FALSE,25,FALSE,,,,,,,,Thai restaurant,Thai restaurant,4.3,"THAM MOTEL and Restoran. Tai Guo Zhu Chao Xiao Fan Zhong Xin , 36, Jalan Miri, Taman Sentosa, 02000 Kuala Perlis, Perlis",https://www.google.com/maps/place/THAM+MOTEL+and+Restoran.+%E6%B3%B0%E5%9B%BD%E7%85%AE%E7%82%92%E5%B0%8F%E9%A5%AD%E4%B8%AD%E5%BF%83/data=!4m7!3m6!1s0x304c9b84501021fb:0xd060561310f7c4d!8m2!3d6.400654!4d100.1348406!16s%2Fg%2F11b6j4z9kj!19sChIJ-yEQUISbTDARTXwPMWEFBg0?authuser=0&hl=en&rclk=1
ChIJZ0bG8oWZTDARjRcZ7P4HCaU,mariammah curry house (maariymmaa krri viittttu caappaattu kttai),FALSE,20,FALSE,,,,,,,,Indian restaurant,Indian restaurant,4.3,"mariammah curry house (maariymmaa krri viittttu caappaattu kttai), 95, Jalan Jubli Perak, Kampung Bukit Lagi, 01000 Kangar, Perlis",https://www.google.com/maps/place/mariammah+curry+house+%28%E0%AE%AE%E0%AE%BE%E0%AE%B0%E0%AE%BF%E0%AE%AF%E0%AE%AE%E0%AF%8D%E0%AE%AE%E0%AE%BE+%E0%AE%95%E0%AE%B1%E0%AE%BF+%E0%AE%B5%E0%AF%80%E0%AE%9F%E0%AF%8D%E0%AE%9F%E0%AF%81+%E0%AE%9A%E0%AE%BE%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%9F%E0%AF%81+%E0%AE%95%E0%AE%9F%E0%AF%88%29/data=!4m7!3m6!1s0x304c9985f2c64667:0xa50907feec19178d!8m2!3d6.4359642!4d100.190698!16s%2Fg%2F11rr8xyxc4!19sChIJZ0bG8oWZTDARjRcZ7P4HCaU?authuser=0&hl=en&rclk=1
ChIJOeZSjJ-ZTDARMproieEoQM0,Razak Curry House,FALSE,17,TRUE,,,,,,,,Restaurant,Restaurant,4.7,"Razak Curry House, Pusat Bandar Kangar, 01000 Kangar, Perlis",https://www.google.com/maps/place/Razak+Curry+House/data=!4m7!3m6!1s0x304c999f8c52e639:0xcd4028e189e89a32!8m2!3d6.434989!4d100.1922132!16s%2Fg%2F11g8783xgp!19sChIJOeZSjJ-ZTDARMproieEoQM0?authuser=0&hl=en&rclk=1
ChIJ_e5q_t2bTDARvN60bFg-EVw,Choo Zhen Li,FALSE,15,TRUE,,,,,,,,Chinese restaurant,Chinese restaurant,5,"Choo Zhen Li, no 11c 263, 02000 Kuala Perlis, Perlis",https://www.google.com/maps/place/Choo+Zhen+Li/data=!4m7!3m6!1s0x304c9bddfe6aeefd:0x5c113e586cb4debc!8m2!3d6.3998363!4d100.1321903!16s%2Fg%2F11qscjmp7x!19sChIJ_e5q_t2bTDARvN60bFg-EVw?authuser=0&hl=en&rclk=1
ChIJNxlrW4abTDARPu5OxMs8Rj4,Kuala Perlis Seafood Restaurant,FALSE,11,TRUE,,,,,,,,Seafood restaurant,Seafood restaurant,5,"Kuala Perlis Seafood Restaurant, Jalan Kuala Perlis, Pekan Kuala Perlis, 02000, 01000 Kangar, Perlis",https://www.google.com/maps/place/Kuala+Perlis+Seafood+Restaurant/data=!4m7!3m6!1s0x304c9b865b6b1937:0x3e463ccbc44eee3e!8m2!3d6.3960509!4d100.1345165!16s%2Fg%2F11j34h9s2h!19sChIJNxlrW4abTDARPu5OxMs8Rj4?authuser=0&hl=en&rclk=1
ChIJA-e_50ejTDARHLfsHh8TIOk,Lily Mee Li Li Mian Guan Zhi Jia ,FALSE,11,TRUE,,,,,,,,Chinese restaurant,Chinese restaurant,5,"Lily Mee Li Li Mian Guan Zhi Jia , 7, Jalan Dua Puluh Lima, Kampung Padang Siding, 02600 Arau, Perlis",https://www.google.com/maps/place/Lily+Mee+%E4%B8%BD%E4%B8%BD%E9%9D%A2%E9%A6%86%E4%B9%8B%E5%AE%B6/data=!4m7!3m6!1s0x304ca347e7bfe703:0xe920131f1eecb71c!8m2!3d6.4424857!4d100.3037559!16s%2Fg%2F11sz975qw7!19sChIJA-e_50ejTDARHLfsHh8TIOk?authuser=0&hl=en&rclk=1
ChIJO2MAYHibTDARCHLaLTJy3Dg,Selera Perlis,FALSE,8,TRUE,,,,,,,,Restaurant,Restaurant,3.4,"Selera Perlis, Pekan Kuala Perlis, 02000 Kuala Perlis, Perlis",https://www.google.com/maps/place/Selera+Perlis/data=!4m7!3m6!1s0x304c9b786000633b:0x38dc72322dda7208!8m2!3d6.3966278!4d100.1350948!16s%2Fg%2F11h6thyd7k!19sChIJO2MAYHibTDARCHLaLTJy3Dg?authuser=0&hl=en&rclk=1
ChIJX2H3uv2bTDARW5OQOp3wOtc,Kedai Makan Cik Wan Taman Sejahtera Kuala Perlis,FALSE,7,FALSE,,,,,,,,Restaurant,Restaurant,4.7,"Kedai Makan Cik Wan Taman Sejahtera Kuala Perlis, 1, Jln Sejahtera 4, Taman Sejahtera, 02000 Kuala Perlis, Perlis",https://www.google.com/maps/place/Kedai+Makan+Cik+Wan+Taman+Sejahtera+Kuala+Perlis/data=!4m7!3m6!1s0x304c9bfdbaf7615f:0xd73af09d3a90935b!8m2!3d6.417193!4d100.136649!16s%2Fg%2F11lk0zh5b2!19sChIJX2H3uv2bTDARW5OQOp3wOtc?authuser=0&hl=en&rclk=1
ChIJz7bNSSijTDARZ8bpwtFo-W4,Mine's Kitchen (Western & Thai Food),FALSE,7,TRUE,,,,,,,,Family restaurant,Family restaurant,4.6,"Mine's Kitchen (Western & Thai Food), 02600, Pauh, 02600 Arau, Perlis",https://www.google.com/maps/place/Mine%27s+Kitchen+%28Western+%26+Thai+Food%29/data=!4m7!3m6!1s0x304ca32849cdb6cf:0x6ef968d1c2e9c667!8m2!3d6.4348765!4d100.298779!16s%2Fg%2F11s8bf6hkf!19sChIJz7bNSSijTDARZ8bpwtFo-W4?authuser=0&hl=en&rclk=1
